variable,estimate,lci,uci,type,est_ci,n,stratification,strata
highbp,37.2,35.1,39.5,Proportion,"37.2 (35.1, 39.5)",6588,caste,Schedule Tribe
dm_untreated,30,28.9,31.1,Proportion,"30 (28.9, 31.1)",50311,religion,Hindu
dm_uncontrolled,40,39.2,40.8,Proportion,"40 (39.2, 40.8)",50311,religion,Hindu
highbp,38.1,37.5,38.8,Proportion,"38.1 (37.5, 38.8)",50224,religion,Hindu
dm_untreated,27.6,25.5,29.7,Proportion,"27.6 (25.5, 29.7)",8533,religion,Muslim
dm_uncontrolled,42.7,40.7,44.6,Proportion,"42.7 (40.7, 44.6)",8533,religion,Muslim
highbp,38.9,37.3,40.6,Proportion,"38.9 (37.3, 40.6)",8513,religion,Muslim
dm_untreated,23.2,20.9,25.7,Proportion,"23.2 (20.9, 25.7)",8365,religion,Other
dm_uncontrolled,44.1,42,46.2,Proportion,"44.1 (42, 46.2)",8365,religion,Other
highbp,39.8,37.9,41.8,Proportion,"39.8 (37.9, 41.8)",8350,religion,Other
dm_untreated,36.4,34.2,38.6,Proportion,"36.4 (34.2, 38.6)",8505,swealthq_ur,1
dm_uncontrolled,35.7,34.1,37.3,Proportion,"35.7 (34.1, 37.3)",8505,swealthq_ur,1
highbp,37.8,36.3,39.4,Proportion,"37.8 (36.3, 39.4)",8491,swealthq_ur,1
dm_untreated,33.1,31.4,34.7,Proportion,"33.1 (31.4, 34.7)",10454,swealthq_ur,2
dm_uncontrolled,38.9,37.5,40.3,Proportion,"38.9 (37.5, 40.3)",10454,swealthq_ur,2
highbp,38.1,36.8,39.4,Proportion,"38.1 (36.8, 39.4)",10431,swealthq_ur,2
dm_untreated,29.5,28.1,30.9,Proportion,"29.5 (28.1, 30.9)",12686,swealthq_ur,3
dm_uncontrolled,41,39.6,42.3,Proportion,"41 (39.6, 42.3)",12686,swealthq_ur,3
highbp,38.1,36.8,39.3,Proportion,"38.1 (36.8, 39.3)",12658,swealthq_ur,3
dm_untreated,27.9,26.5,29.2,Proportion,"27.9 (26.5, 29.2)",15270,swealthq_ur,4
dm_uncontrolled,41.7,40.5,42.9,Proportion,"41.7 (40.5, 42.9)",15270,swealthq_ur,4
highbp,38.7,37.6,39.9,Proportion,"38.7 (37.6, 39.9)",15250,swealthq_ur,4
dm_untreated,25.2,23.9,26.5,Proportion,"25.2 (23.9, 26.5)",20294,swealthq_ur,5
dm_uncontrolled,42.6,41.4,43.7,Proportion,"42.6 (41.4, 43.7)",20294,swealthq_ur,5
highbp,38.6,37.6,39.7,Proportion,"38.6 (37.6, 39.7)",20257,swealthq_ur,5
