REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
39,dm_undiagnosed,26.9,19.4,34.4,Proportion,"26.9 (19.4, 34.4)",144,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,dm_unscreened,4.7,1.6,7.9,Proportion,"4.7 (1.6, 7.9)",160,,NA,Punjab,3,Fatehgarh Sahib
40,dm_undiagnosed,17.8,11.7,23.9,Proportion,"17.8 (11.7, 23.9)",160,,NA,Punjab,3,Fatehgarh Sahib
41,dm_unscreened,2.9,0.1,5.7,Proportion,"2.9 (0.1, 5.7)",130,,NA,Punjab,3,Ludhiana
41,dm_undiagnosed,17.4,9.9,24.9,Proportion,"17.4 (9.9, 24.9)",130,,NA,Punjab,3,Ludhiana
42,dm_unscreened,13,7.1,18.8,Proportion,"13 (7.1, 18.8)",150,,NA,Punjab,3,Moga
42,dm_undiagnosed,23.7,17.4,30.1,Proportion,"23.7 (17.4, 30.1)",150,,NA,Punjab,3,Moga
44,dm_unscreened,13.1,7.9,18.3,Proportion,"13.1 (7.9, 18.3)",134,,NA,Punjab,3,Muktsar
44,dm_undiagnosed,23.5,15.8,31.2,Proportion,"23.5 (15.8, 31.2)",134,,NA,Punjab,3,Muktsar
45,dm_unscreened,9.9,4.8,15,Proportion,"9.9 (4.8, 15)",208,,NA,Punjab,3,Faridkot
45,dm_undiagnosed,19.3,13,25.7,Proportion,"19.3 (13, 25.7)",208,,NA,Punjab,3,Faridkot
46,dm_unscreened,12.2,5.6,18.8,Proportion,"12.2 (5.6, 18.8)",160,,NA,Punjab,3,Bathinda
46,dm_undiagnosed,19.2,11.6,26.8,Proportion,"19.2 (11.6, 26.8)",160,,NA,Punjab,3,Bathinda
47,dm_unscreened,19.1,9,29.2,Proportion,"19.1 (9, 29.2)",121,,NA,Punjab,3,Mansa
47,dm_undiagnosed,27.6,17.5,37.7,Proportion,"27.6 (17.5, 37.7)",121,,NA,Punjab,3,Mansa
48,dm_unscreened,6,2.4,9.7,Proportion,"6 (2.4, 9.7)",146,,NA,Punjab,3,Patiala
48,dm_undiagnosed,27.1,16.2,38,Proportion,"27.1 (16.2, 38)",146,,NA,Punjab,3,Patiala
49,dm_unscreened,7.1,1.8,12.4,Proportion,"7.1 (1.8, 12.4)",137,,NA,Punjab,3,Amritsar
49,dm_undiagnosed,17.5,8.2,26.8,Proportion,"17.5 (8.2, 26.8)",137,,NA,Punjab,3,Amritsar
50,dm_unscreened,10,3.2,16.9,Proportion,"10 (3.2, 16.9)",102,,NA,Punjab,3,Tarn Taran
50,dm_undiagnosed,33.8,24.4,43.1,Proportion,"33.8 (24.4, 43.1)",102,,NA,Punjab,3,Tarn Taran
51,dm_unscreened,4.8,1.4,8.2,Proportion,"4.8 (1.4, 8.2)",182,,NA,Punjab,3,Rupnagar
51,dm_undiagnosed,22.3,16.8,27.7,Proportion,"22.3 (16.8, 27.7)",182,,NA,Punjab,3,Rupnagar
52,dm_unscreened,4.5,0.5,8.4,Proportion,"4.5 (0.5, 8.4)",154,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
52,dm_undiagnosed,27.1,18,36.1,Proportion,"27.1 (18, 36.1)",154,,NA,Punjab,3,Sahibzada Ajit Singh Nagar
53,dm_unscreened,12.2,6.3,18.2,Proportion,"12.2 (6.3, 18.2)",132,,NA,Punjab,3,Sangrur
53,dm_undiagnosed,19.5,10.8,28.3,Proportion,"19.5 (10.8, 28.3)",132,,NA,Punjab,3,Sangrur
54,dm_unscreened,6.7,2.6,10.9,Proportion,"6.7 (2.6, 10.9)",153,,NA,Punjab,3,Barnala
54,dm_undiagnosed,19,13.1,24.9,Proportion,"19 (13.1, 24.9)",153,,NA,Punjab,3,Barnala
55,dm_unscreened,7.1,2.8,11.3,Proportion,"7.1 (2.8, 11.3)",122,,NA,Chandigarh,4,Chandigarh
