REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
42,dm_unscreened,29.7,20.2,39.2,Proportion,"29.7 (20.2, 39.2)",242,,NA,Punjab,3,Moga
42,dm_undiagnosed,60.2,52.7,67.7,Proportion,"60.2 (52.7, 67.7)",242,,NA,Punjab,3,Moga
44,dm_unscreened,35.7,27.1,44.3,Proportion,"35.7 (27.1, 44.3)",213,,NA,Punjab,3,Muktsar
44,dm_undiagnosed,57,46.9,67.1,Proportion,"57 (46.9, 67.1)",213,,NA,Punjab,3,Muktsar
45,dm_unscreened,26.6,17.7,35.6,Proportion,"26.6 (17.7, 35.6)",292,,NA,Punjab,3,Faridkot
45,dm_undiagnosed,46.6,36,57.2,Proportion,"46.6 (36, 57.2)",292,,NA,Punjab,3,Faridkot
46,dm_unscreened,25,15.8,34.1,Proportion,"25 (15.8, 34.1)",229,,NA,Punjab,3,Bathinda
46,dm_undiagnosed,46.4,37.1,55.8,Proportion,"46.4 (37.1, 55.8)",229,,NA,Punjab,3,Bathinda
47,dm_unscreened,47.7,37.1,58.2,Proportion,"47.7 (37.1, 58.2)",190,,NA,Punjab,3,Mansa
47,dm_undiagnosed,59.2,49.7,68.7,Proportion,"59.2 (49.7, 68.7)",190,,NA,Punjab,3,Mansa
48,dm_unscreened,23.2,13.8,32.7,Proportion,"23.2 (13.8, 32.7)",209,,NA,Punjab,3,Patiala
48,dm_undiagnosed,60.4,49.3,71.4,Proportion,"60.4 (49.3, 71.4)",209,,NA,Punjab,3,Patiala
49,dm_unscreened,17.9,8.8,27.1,Proportion,"17.9 (8.8, 27.1)",202,,NA,Punjab,3,Amritsar
49,dm_undiagnosed,44.4,31.1,57.7,Proportion,"44.4 (31.1, 57.7)",202,,NA,Punjab,3,Amritsar
50,dm_unscreened,27.2,18,36.4,Proportion,"27.2 (18, 36.4)",168,,NA,Punjab,3,Tarn Taran
50,dm_undiagnosed,64.7,56.6,72.7,Proportion,"64.7 (56.6, 72.7)",168,,NA,Punjab,3,Tarn Taran
51,dm_unscreened,18.2,10.6,25.8,Proportion,"18.2 (10.6, 25.8)",293,,NA,Punjab,3,Rupnagar
