REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
29,dm_undiagnosed,21.6,13.1,30.2,Proportion,"21.6 (13.1, 30.2)",207,,NA,Himachal Pradesh,2,Una
30,dm_unscreened,10.8,2.3,19.4,Proportion,"10.8 (2.3, 19.4)",121,,NA,Himachal Pradesh,2,Bilaspur
30,dm_undiagnosed,25.5,12.4,38.7,Proportion,"25.5 (12.4, 38.7)",121,,NA,Himachal Pradesh,2,Bilaspur
31,dm_unscreened,1.9,-0.2,3.9,Proportion,"1.9 (-0.2, 3.9)",81,,NA,Himachal Pradesh,2,Solan
31,dm_undiagnosed,8.1,4,12.1,Proportion,"8.1 (4, 12.1)",81,,NA,Himachal Pradesh,2,Solan
32,dm_unscreened,2.7,-1.2,6.6,Proportion,"2.7 (-1.2, 6.6)",138,,NA,Himachal Pradesh,2,Sirmaur
32,dm_undiagnosed,14.4,4.7,24,Proportion,"14.4 (4.7, 24)",138,,NA,Himachal Pradesh,2,Sirmaur
33,dm_unscreened,1.9,-0,3.8,Proportion,"1.9 (0, 3.8)",90,,NA,Himachal Pradesh,2,Shimla
33,dm_undiagnosed,6.1,2.4,9.7,Proportion,"6.1 (2.4, 9.7)",90,,NA,Himachal Pradesh,2,Shimla
34,dm_unscreened,3,-0.1,6,Proportion,"3 (-0.1, 6)",69,,NA,Himachal Pradesh,2,Kinnaur
34,dm_undiagnosed,14.8,0.7,28.9,Proportion,"14.8 (0.7, 28.9)",69,,NA,Himachal Pradesh,2,Kinnaur
36,dm_unscreened,4.3,-0.9,9.6,Proportion,"4.3 (-0.9, 9.6)",167,,NA,Punjab,3,Kapurthala
36,dm_undiagnosed,22.8,11.1,34.4,Proportion,"22.8 (11.1, 34.4)",167,,NA,Punjab,3,Kapurthala
37,dm_unscreened,17.7,6.6,28.8,Proportion,"17.7 (6.6, 28.8)",153,,NA,Punjab,3,Jalandhar
37,dm_undiagnosed,38,24.2,51.7,Proportion,"38 (24.2, 51.7)",153,,NA,Punjab,3,Jalandhar
38,dm_unscreened,6.6,-0.2,13.4,Proportion,"6.6 (-0.2, 13.4)",123,,NA,Punjab,3,Hoshiarpur
38,dm_undiagnosed,21.4,10.6,32.2,Proportion,"21.4 (10.6, 32.2)",123,,NA,Punjab,3,Hoshiarpur
39,dm_unscreened,8.7,-0.4,17.7,Proportion,"8.7 (-0.4, 17.7)",144,,NA,Punjab,3,Shahid Bhagat Singh Nagar
39,dm_undiagnosed,33.4,20.7,46.1,Proportion,"33.4 (20.7, 46.1)",144,,NA,Punjab,3,Shahid Bhagat Singh Nagar
40,dm_unscreened,5.9,0,11.7,Proportion,"5.9 (0, 11.7)",160,,NA,Punjab,3,Fatehgarh Sahib
40,dm_undiagnosed,22.7,13.6,31.7,Proportion,"22.7 (13.6, 31.7)",160,,NA,Punjab,3,Fatehgarh Sahib
41,dm_unscreened,5.6,-1.8,13,Proportion,"5.6 (-1.8, 13)",130,,NA,Punjab,3,Ludhiana
41,dm_undiagnosed,23.5,10.4,36.5,Proportion,"23.5 (10.4, 36.5)",130,,NA,Punjab,3,Ludhiana
42,dm_unscreened,15.9,7,24.8,Proportion,"15.9 (7, 24.8)",150,,NA,Punjab,3,Moga
42,dm_undiagnosed,32.1,23,41.2,Proportion,"32.1 (23, 41.2)",150,,NA,Punjab,3,Moga
44,dm_unscreened,17,8.6,25.3,Proportion,"17 (8.6, 25.3)",134,,NA,Punjab,3,Muktsar
44,dm_undiagnosed,31.1,20.2,42,Proportion,"31.1 (20.2, 42)",134,,NA,Punjab,3,Muktsar
45,dm_unscreened,13.1,4.6,21.5,Proportion,"13.1 (4.6, 21.5)",208,,NA,Punjab,3,Faridkot
45,dm_undiagnosed,21,11.3,30.7,Proportion,"21 (11.3, 30.7)",208,,NA,Punjab,3,Faridkot
46,dm_unscreened,8.8,3.5,14.2,Proportion,"8.8 (3.5, 14.2)",160,,NA,Punjab,3,Bathinda
46,dm_undiagnosed,18.2,9.2,27.3,Proportion,"18.2 (9.2, 27.3)",160,,NA,Punjab,3,Bathinda
